stocking,spp,hgt
1667,pil,16.6
1667,pil,17
1667,pil,14.1
1667,pil,17.2
1667,pil,17
1667,pil,16.6
1667,pil,17.4
1667,pil,16.6
1667,pil,16
1667,pil,16.7
1667,pil,16.3
1667,pil,16.9
1667,pil,17
1667,pil,16.7
1667,pil,15.1
1667,pil,16
3333,pil,16.5
3333,pil,17.5
3333,pil,14.5
3333,pil,15.7
3333,pil,14.5
3333,pil,14.9
3333,pil,15.2
3333,pil,16.2
3333,pil,15.3
3333,pil,13.6
3333,pil,15.3
3333,pil,17.9
3333,pil,15.2
3333,pil,17.6
3333,pil,15.6
3333,pil,15
3333,pil,15.5
3333,pil,15.9
3333,pil,16.2
3333,pil,16.9
714,pil,14.7
714,pil,15
714,pil,11.7
714,pil,14.7
714,pil,15.4
714,pil,14
714,pil,13.4
714,pil,15.2
714,pil,14.8
714,pil,14.2
714,pil,15.8
714,pil,15.6
714,pil,14.4
714,pil,15.7
714,pil,13.9
714,pil,14.8
714,pil,15.5
714,pil,13.7
714,pil,14.3
714,pil,15.3
3333,pil,14.8
3333,pil,14.8
3333,pil,15
3333,pil,15.2
3333,pil,16.9
3333,pil,15
3333,pil,14.4
3333,pil,14.9
3333,pil,14.3
3333,pil,16.4
3333,pil,15.2
3333,pil,15.6
3333,pil,15.3
3333,pil,15.1
3333,pil,13.2
3333,pil,14.4
3333,pil,14.9
3333,pil,14.7
3333,pil,15.2
3333,pil,14.1
714,pil,14.3
714,pil,15.5
714,pil,15.7
714,pil,16.1
714,pil,14.8
714,pil,15.4
714,pil,14.8
714,pil,16.6
714,pil,16
714,pil,14.1
714,pil,14.6
714,pil,15.1
714,pil,14.9
714,pil,16.6
714,pil,15.8
714,pil,13.7
714,pil,14.3
714,pil,13.2
714,pil,15.6
714,pil,15.6
